zip_code,lon,lat,city,province
3709JH,5.2575959366235745,52.06617494644536,Zeist,Utrecht
1704RE,4.829168317253127,52.68241629198004,Heerhugowaard,North Holland
2831BR,4.694383100930441,51.99587616771505,Gouderak,South Holland
7324AZ,5.979037756394701,52.23747597213053,Apeldoorn,Guelders
8081HJ,5.831577539662433,52.45673218798707,Elburg,Guelders
4104BD,5.207293550592339,51.94101917349516,Culemborg,Guelders
1812RS,4.739944811947063,52.60864729052849,Alkmaar,North Holland
7071EC,6.359449337374976,51.90323897324008,Ulft,Guelders
6462HA,6.063836923957566,50.85901643808406,Kerkrade,Limburg
2821NB,4.755707385432693,51.98389694319233,Stolwijk,South Holland
3824MP,5.38953708176837,52.19565526766167,Amersfoort,Utrecht
6049CP,5.960658091507424,51.16915915326548,Herten,Limburg
3481MD,4.944762779018182,52.09876955985301,Harmelen,Utrecht
1411AW,5.1499232985636185,52.30158474477848,Naarden,North Holland
2497GM,4.361341746449045,52.04184491705831,'s-Gravenhage,South Holland
5463XG,5.555500072718348,51.61504592042102,Veghel,North Brabant
6086AB,5.989550901251097,51.26512982424383,Neer,Limburg
8152BN,6.3341905020166225,52.43986340354107,Lemelerveld,Overijssel
3543AA,5.033518932319686,52.11440023759793,Utrecht,Utrecht
1521NC,4.777170338948066,52.503675656490074,Wormerveer,North Holland
8091VJ,5.99806980362069,52.463318182646205,Wezep,Guelders
4571LS,3.9100227787662827,51.27320216055875,Axel,Zeeland
7831HS,7.006510895141316,52.86753123055367,Nieuw-Weerdinge,Drenthe
3543AC,5.0396352078413695,52.11403855708475,Utrecht,Utrecht
